Year,Status,Life Expectancy,Adult Mortality,Infant Deaths,Alcohol,Percentage Expenditure,Hepatitis B,Measles,BMI,Under-Five Deaths,Polio,Health Expenditure,Diphtheria,HIV/AIDS,GDP,Population,Income Composition of Resources,Schooling,Thinness 5-19 Years
2012,Developed,77.1,14.0,0,11.49,1851.713,98.0,2,Obese,0,96.0,7.8,96.0,0.1,13235.978,4267558.0,0.815,14.6,3.0
2011,Developed,77.0,14.0,0,12.19,1913.357,97.0,12,Obese,0,96.0,7.8,96.0,0.1,14539.184,428622.0,0.808,14.5,3.1
2010,Developed,76.6,16.0,0,12.1,206.887,97.0,7,Underweight,0,97.0,8.25,97.0,0.1,1355.746,4417781.0,0.803,14.2,3.2
2009,Developed,76.3,19.0,0,12.21,2160.38,97.0,2,Underweight,0,96.0,8.18,96.0,0.1,14157.144,442978.0,0.803,14.2,3.3
2008,Developed,76.0,116.0,0,12.06,2425.404,97.0,51,Obese,0,96.0,7.7,96.0,0.1,15893.866,443458.0,0.8,14.3,3.4
2007,Developed,75.8,114.0,0,12.56,2019.813,95.0,0,Obese,0,96.0,7.44,96.0,0.1,13546.699,4436.0,0.793,14.3,3.5
2014,Developed,83.0,53.0,0,0.01,207.304,96.0,10,Obese,0,99.0,7.37,99.0,0.1,2734.884,115239.0,0.85,14.0,1.9
2013,Developed,81.0,54.0,0,9.04,212.086,96.0,0,Obese,0,99.0,7.46,99.0,0.1,2797.967,1143896.0,0.85,13.8,1.9
2012,Developed,80.0,56.0,0,10.55,2159.756,96.0,1,Obese,0,99.0,7.44,99.0,0.1,28951.156,113562.0,0.85,13.8,1.9
2011,Developed,79.7,57.0,0,10.69,2443.325,96.0,0,Obese,0,99.0,7.54,99.0,0.1,32233.839,1124835.0,0.847,13.8,1.9
2010,Developed,79.5,59.0,0,11.32,283.33,96.0,18,Obese,0,99.0,7.23,99.0,0.1,3818.464,111267.0,0.853,14.6,1.9
2009,Developed,79.3,6.0,0,10.8,230.252,96.0,0,Obese,0,99.0,7.4,99.0,0.1,3215.816,19876.0,0.849,14.1,1.9
2008,Developed,79.1,62.0,0,12.01,239.641,93.0,1,Obese,0,97.0,6.89,97.0,0.1,3539.749,181563.0,0.844,13.7,1.9
2007,Developed,78.9,63.0,0,11.56,1958.526,93.0,0,Obese,0,97.0,6.5,97.0,0.1,31386.633,163712.0,0.836,13.5,1.9
2006,Developed,78.8,64.0,0,11.47,1700.842,93.0,0,Obese,0,97.0,6.28,97.0,0.1,27169.993,14559.0,0.829,13.4,1.9
2005,Developed,78.7,65.0,0,11.41,1562.521,88.0,1,Obese,0,98.0,6.37,98.0,0.1,25324.487,127658.0,0.826,13.5,1.9
2004,Developed,78.6,65.0,0,13.03,1586.724,88.0,0,Obese,0,98.0,6.42,98.0,0.1,23932.491,1141.0,0.823,13.4,1.9
2003,Developed,78.5,66.0,0,10.62,158.709,88.0,0,Obese,0,98.0,6.83,98.0,0.1,2293.479,993563.0,0.815,13.0,1.9
2002,Developed,78.4,68.0,0,11.68,1128.051,88.0,0,Obese,0,98.0,6.12,98.0,0.1,16372.292,976966.0,0.805,12.5,1.9
2001,Developed,78.2,69.0,0,10.16,100.809,89.0,0,Obese,0,97.0,5.78,97.0,0.1,1562.924,96282.0,0.8,12.4,1.9
2000,Developed,78.1,7.0,0,9.56,950.803,89.0,0,Obese,0,97.0,5.77,97.0,0.1,14672.883,943286.0,0.798,12.5,1.9
2014,Developing,63.0,252.0,1,0.38,24.733,78.0,0,Obese,1,78.0,1.57,78.0,2.1,174.915,912164.0,0.467,6.3,11.0
2013,Developing,62.7,256.0,1,0.53,229.441,82.0,28,Obese,2,82.0,9.14,82.0,2.1,1622.638,896688.0,0.464,6.3,11.0
2012,Developing,62.2,263.0,1,0.52,217.213,81.0,709,Obese,2,81.0,8.95,81.0,1.9,1536.157,881185.0,0.46,6.3,11.1
2011,Developing,61.8,268.0,1,0.39,20.36,87.0,49,Obese,2,87.0,8.71,87.0,2.7,143.987,865937.0,0.451,5.9,11.1
2010,Developing,61.3,273.0,1,0.44,187.496,88.0,7,Obese,2,88.0,8.84,88.0,3.1,1325.997,851146.0,0.441,5.5,11.2
2009,Developing,69.0,279.0,1,0.49,177.267,89.0,48,Obese,2,89.0,8.37,89.0,3.2,1253.657,83684.0,0.436,5.3,11.3
2008,Developing,62.0,289.0,1,0.49,171.769,88.0,143,Obese,2,89.0,8.5,89.0,3.3,1214.771,822934.0,0.427,5.0,11.3
2007,Developing,59.8,296.0,1,0.45,20.869,25.0,24,Underweight,2,88.0,7.72,88.0,3.5,147.587,8942.0,0.416,4.5,11.5
2014,Developing,73.6,154.0,6,5.92,1088.245,89.0,0,Obese,7,9.0,4.38,91.0,0.3,6268.692,145844.0,0.712,13.2,6.5
2013,Developing,73.4,157.0,6,5.93,97.522,8.0,0,Obese,7,82.0,4.12,83.0,0.3,627.555,1281296.0,0.709,13.2,6.5
2012,Developing,72.1,174.0,6,5.93,857.131,74.0,0,Obese,7,85.0,4.26,85.0,0.4,5968.877,115495.0,0.706,13.1,6.5
2011,Developing,73.1,16.0,6,5.91,843.788,8.0,2,Obese,7,84.0,4.22,84.0,0.7,5759.643,12795.0,0.703,13.0,6.5
2010,Developing,72.7,166.0,6,6.02,664.559,83.0,0,Obese,8,85.0,4.6,88.0,0.9,5451.67,9897985.0,0.697,12.9,6.6
2009,Developing,73.6,157.0,6,6.05,587.883,8.0,0,Obese,8,85.0,4.41,82.0,1.2,4952.678,9767758.0,0.695,12.9,6.699999999999999
2008,Developing,73.3,161.0,6,6.12,49.092,81.0,0,Obese,8,86.0,4.2,82.0,1.4,511.379,963652.0,0.692,12.8,6.699999999999999
2007,Developing,72.9,164.0,6,6.05,74.822,81.0,0,Underweight,8,86.0,4.34,85.0,1.6,4647.314,954353.0,0.685,12.7,6.8
2006,Developing,72.3,178.0,7,6.2,352.955,84.0,0,Obese,8,88.0,4.34,89.0,1.8,3836.469,9371338.0,0.677,12.6,6.9
2005,Developing,69.7,28.0,7,5.71,289.742,87.0,0,Obese,8,86.0,4.26,87.0,2.0,3681.599,9237566.0,0.668,12.6,6.9
2004,Developing,69.3,214.0,7,5.16,182.616,82.0,0,Obese,8,66.0,4.28,79.0,2.1,2421.966,912998.0,0.666,12.5,7.1
2003,Developing,73.0,22.0,7,6.32,293.02,79.0,0,Obese,8,65.0,5.53,79.0,2.3,2372.629,896776.0,0.665,12.4,7.1
2002,Developing,71.4,189.0,7,6.43,4.674,63.0,0,Obese,8,74.0,5.79,82.0,2.4,38.466,8832285.0,0.66,12.3,7.300000000000001
2001,Developing,71.2,188.0,7,6.13,340.024,66.0,113,Obese,9,71.0,5.59,72.0,2.5,2862.155,8697126.0,0.656,12.3,7.4
2000,Developing,72.0,176.0,7,6.58,44.792,68.0,253,Obese,9,71.0,5.9,78.0,2.5,282.424,8562622.0,0.651,12.2,7.5
2014,Developing,76.0,121.0,6,3.82,79.116,83.0,0,Obese,7,84.0,9.16,83.0,0.1,6432.217,1593112.0,0.737,14.0,2.3
2013,Developing,76.0,121.0,6,3.77,59.129,87.0,0,Obese,8,87.0,7.29,87.0,0.1,674.983,15661547.0,0.725,13.4,2.4000000000000004
2012,Developing,75.5,127.0,7,3.92,41.881,88.0,72,Obese,8,85.0,6.48,87.0,0.1,572.143,15419666.0,0.717,13.3,2.5
2011,Developing,75.3,131.0,7,3.99,344.741,88.0,257,Obese,8,85.0,5.92,88.0,0.1,5223.352,15177355.0,0.71,13.2,2.5
2010,Developing,75.0,134.0,7,3.95,367.929,9.0,0,Underweight,8,88.0,5.9,91.0,0.1,4657.324,1493469.0,0.703,13.1,2.5
2009,Developing,75.1,137.0,7,3.87,282.144,91.0,0,Underweight,8,91.0,5.58,94.0,0.1,4255.566,14691275.0,0.702,13.1,2.5
2008,Developing,74.6,139.0,7,3.76,197.93,93.0,1,Obese,9,94.0,5.66,96.0,0.1,4274.953,14447562.0,0.698,13.0,2.5
2007,Developing,74.7,14.0,7,3.63,19.605,94.0,0,Obese,9,95.0,5.94,96.0,0.2,359.719,1425453.0,0.696,12.9,2.7
2006,Developing,74.4,144.0,8,3.52,19.14,96.0,0,Obese,9,92.0,5.86,96.0,0.3,335.787,1396748.0,0.693,12.8,2.7
2005,Developing,74.2,151.0,8,3.54,18.093,92.0,0,Obese,9,89.0,5.87,92.0,0.3,321.943,13735233.0,0.688,12.8,2.7
2004,Developing,74.4,148.0,8,3.65,16.379,88.0,0,Obese,9,9.0,6.22,88.0,0.3,278.558,1359647.0,0.682,12.7,2.8
2003,Developing,74.4,151.0,8,3.69,18.262,82.0,0,Obese,10,97.0,6.46,87.0,0.3,244.469,1328961.0,0.679,12.6,2.9
2002,Developing,73.6,157.0,8,3.88,187.384,75.0,0,Obese,10,88.0,4.62,88.0,0.3,2183.967,13726.0,0.675,12.5,2.9
2001,Developing,73.4,158.0,9,4.13,14.589,69.0,2,Obese,10,9.0,3.86,89.0,0.3,193.742,12852755.0,0.67,12.4,3.1
2000,Developing,72.8,163.0,9,3.99,84.175,36.0,0,Obese,11,83.0,3.38,87.0,0.3,1451.298,12628596.0,0.668,12.4,3.1
2014,Developing,73.3,181.0,2,2.52,665.726,93.0,0,Obese,2,93.0,6.77,94.0,0.2,3988.772,6281189.0,0.676,13.2,3.2
2013,Developing,73.0,184.0,2,2.42,653.693,92.0,0,Obese,2,92.0,6.95,92.0,0.2,3895.664,625777.0,0.675,13.2,3.2
2012,Developing,73.0,181.0,2,2.48,591.776,92.0,0,Obese,2,93.0,6.7,92.0,0.3,3827.786,6221246.0,0.67,13.2,3.2
2011,Developing,72.0,197.0,2,2.37,549.278,89.0,0,Obese,2,9.0,6.81,89.0,0.3,3736.587,619256.0,0.666,13.0,3.3
2010,Developing,72.0,191.0,2,2.36,469.39,89.0,0,Obese,2,89.0,6.91,89.0,0.3,3474.392,6164626.0,0.662,12.9,3.3
2009,Developing,71.4,23.0,2,2.55,416.434,91.0,0,Obese,2,91.0,6.83,91.0,0.3,3366.482,6137276.0,0.662,12.8,3.3
2008,Developing,71.7,194.0,2,2.68,53.959,98.0,0,Obese,3,98.0,6.21,98.0,0.3,357.348,61131.0,0.659,13.4,3.5
2007,Developing,71.2,23.0,2,2.83,52.302,99.0,0,Underweight,3,99.0,6.32,99.0,0.3,334.838,683475.0,0.657,12.9,3.5
2006,Developing,75.0,211.0,3,2.77,57.746,96.0,0,Underweight,3,96.0,6.68,96.0,0.2,362.952,656478.0,0.651,12.9,3.5
2005,Developing,71.0,213.0,3,2.77,440.603,89.0,0,Obese,3,89.0,7.19,89.0,0.2,2835.281,628961.0,0.644,12.7,3.7
2004,Developing,70.0,215.0,3,2.9,398.606,9.0,0,Obese,3,9.0,7.3,9.0,0.3,2632.799,6775.0,0.636,12.4,3.7
2003,Developing,69.9,29.0,3,3.1,400.134,94.0,0,Obese,4,93.0,7.61,94.0,0.3,2519.737,5971535.0,0.628,12.0,3.9
2002,Developing,73.0,24.0,3,2.97,29.685,81.0,0,Obese,4,81.0,7.9,81.0,0.4,248.412,59433.0,0.621,11.8,3.9
2001,Developing,68.9,219.0,4,2.88,332.106,75.0,2,Obese,4,94.0,8.2,92.0,0.4,2338.772,595962.0,0.615,11.6,4.1
2000,Developing,69.0,218.0,4,2.79,353.669,99.0,0,Obese,5,98.0,8.17,99.0,0.4,2238.412,5867626.0,0.607,11.3,4.1
2014,Developing,57.9,32.0,3,0.01,13.405,2.0,13,Normal,4,24.0,3.8,2.0,4.4,192.597,1129424.0,0.582,9.2,16.9
2011,Developing,62.9,286.0,6,0.62,20.98,96.0,48,Underweight,8,96.0,3.6,96.0,0.7,582.776,447469.0,0.405,5.0,17.5
2010,Developing,62.1,298.0,6,0.61,17.357,9.0,51,Underweight,9,9.0,3.24,9.0,0.9,482.15,43984.0,0.404,5.1,17.700000000000003
2009,Developing,61.4,311.0,6,0.63,1.575,92.0,82,Underweight,9,92.0,3.3,92.0,1.0,43.754,431334.0,0.402,5.2,17.9
2008,Developing,67.0,322.0,6,0.49,11.766,94.0,0,Underweight,9,94.0,3.69,94.0,1.1,326.826,4232636.0,0.406,5.2,18.2
2007,Developing,62.0,329.0,6,1.23,11.424,91.0,55,Underweight,9,91.0,3.29,91.0,1.3,317.329,4153332.0,0.405,5.3,18.4
2006,Developing,59.7,336.0,7,0.97,10.603,94.0,128,Underweight,9,94.0,3.3,94.0,1.4,297.829,466648.0,0.405,5.3,18.6
2005,Developing,59.4,34.0,7,1.07,5.065,96.0,19,Underweight,9,96.0,2.97,96.0,1.6,276.759,39697.0,0.0,5.4,18.9
2004,Developing,59.1,342.0,7,0.64,10.261,84.0,24,Underweight,10,98.0,3.14,98.0,1.8,287.422,3858623.0,0.0,5.0,19.2
2003,Developing,58.8,343.0,7,0.56,6.914,91.0,376,Underweight,10,95.0,3.5,93.0,1.9,232.795,3738265.0,0.0,4.7,19.4
2002,Developing,58.5,343.0,7,0.83,0.703,86.0,460,Underweight,10,92.0,4.2,9.0,1.9,21.769,3614639.0,0.0,4.4,19.8
2014,Developing,77.3,122.0,0,0.01,2700.073,93.0,0,Obese,0,93.0,6.38,93.0,0.1,19941.455,1314545.0,0.86,16.5,3.8
2013,Developing,76.9,127.0,0,0.01,261.291,93.0,2,Obese,0,94.0,6.48,94.0,0.1,1929.775,1317997.0,0.856,16.5,3.8
2012,Developing,76.3,135.0,0,0.01,2263.104,94.0,4,Obese,0,94.0,6.36,94.0,0.1,17421.892,1322696.0,0.85,16.5,3.8
2011,Developing,76.1,138.0,0,0.01,2146.946,94.0,7,Obese,0,93.0,5.83,93.0,0.1,17454.843,1327439.0,0.838,16.4,3.9
2010,Developing,75.6,137.0,0,14.97,1802.018,94.0,0,Obese,0,94.0,6.25,94.0,0.1,14638.648,1331475.0,0.833,16.2,3.9
2009,Developing,74.9,156.0,0,15.04,1717.089,95.0,0,Obese,0,95.0,6.93,95.0,0.1,14726.318,1334515.0,0.836,16.1,4.0
2008,Developing,74.2,167.0,0,16.99,225.072,94.0,0,Obese,0,95.0,6.6,95.0,0.1,1894.548,13379.0,0.835,16.1,4.1
2007,Developing,73.0,189.0,0,17.87,1904.125,95.0,1,Obese,0,95.0,5.16,95.0,0.1,16586.452,13468.0,0.829,16.1,4.1
2006,Developing,73.0,188.0,0,16.58,244.351,95.0,27,Obese,0,95.0,5.1,95.0,0.1,12595.416,134681.0,0.822,16.1,4.300000000000001
2005,Developing,72.8,189.0,0,15.52,153.505,95.0,2,Obese,0,96.0,5.2,96.0,0.1,1338.313,1354775.0,0.812,15.9,4.300000000000001
2004,Developing,72.3,195.0,0,15.07,101.12,9.0,0,Obese,0,95.0,5.13,94.0,0.1,885.465,136255.0,0.805,15.7,4.5
2014,Developing,64.2,234.0,140,0.01,89.958,77.0,12739,Underweight,202,75.0,4.88,77.0,0.6,571.162,97366774.0,0.435,8.4,2.8
2013,Developing,63.7,237.0,145,1.86,8.313,72.0,5253,Underweight,211,7.0,5.19,72.0,0.9,52.154,94887724.0,0.427,8.4,3.0
2012,Developing,63.3,241.0,150,1.84,86.826,69.0,4347,Underweight,221,7.0,5.77,69.0,1.2,468.567,92444183.0,0.422,8.4,3.2
2011,Developing,62.6,249.0,156,1.32,67.776,65.0,3255,Underweight,231,7.0,6.55,65.0,1.4,354.846,946756.0,0.411,8.2,3.5
2010,Developing,61.8,261.0,162,1.34,67.734,62.0,4235,Underweight,243,69.0,6.86,61.0,1.7,341.4,877267.0,0.401,8.1,12.7
2009,Developing,68.0,274.0,169,1.17,53.774,56.0,1176,Underweight,256,65.0,4.41,58.0,2.0,379.757,85416253.0,0.393,8.1,12.9
2008,Developing,59.8,289.0,177,1.13,38.558,52.0,3511,Underweight,270,63.0,4.28,54.0,2.4,325.383,83184892.0,0.378,7.6,13.1
2007,Developing,58.5,39.0,186,1.06,30.465,47.0,1446,Underweight,286,61.0,4.69,5.0,2.8,243.327,8149.0,0.362,7.1,22.3
2014,Developing,69.7,19.0,0,0.01,50.539,99.0,0,Obese,0,99.0,4.49,99.0,0.1,546.373,88586.0,0.727,15.2,7.7
2013,Developing,69.6,192.0,0,0.01,460.649,99.0,0,Obese,0,99.0,4.26,99.0,0.1,4763.69,879715.0,0.719,15.0,7.7
2012,Developing,69.4,195.0,0,0.01,431.485,99.0,0,Underweight,0,99.0,4.16,99.0,0.1,4546.739,873596.0,0.714,14.9,7.7
2011,Developing,69.2,197.0,0,0.01,401.793,99.0,0,Obese,0,99.0,4.6,99.0,0.1,4353.121,86786.0,0.709,14.7,7.7
2010,Developing,69.1,2.0,0,2.25,62.083,99.0,0,Obese,0,99.0,4.23,99.0,0.1,3651.967,85995.0,0.706,14.6,7.7
2009,Developing,68.9,23.0,0,2.31,60.651,99.0,1,Obese,0,99.0,4.26,99.0,0.1,3369.482,851967.0,0.704,14.5,7.7
2008,Developing,68.7,26.0,0,1.95,81.047,99.0,0,Obese,0,99.0,3.68,99.0,0.1,4177.658,84334.0,0.7,14.3,7.7
2007,Developing,68.6,29.0,0,2.09,5.89,99.0,0,Obese,0,99.0,3.74,99.0,0.1,478.823,834812.0,0.698,14.2,7.8999999999999995
2006,Developing,68.5,211.0,0,2.06,52.124,99.0,136,Obese,0,98.0,3.84,98.0,0.1,3749.94,827411.0,0.695,14.0,7.8999999999999995
2005,Developing,68.3,214.0,0,2.02,64.392,99.0,0,Obese,0,97.0,3.61,96.0,0.1,3658.638,821817.0,0.699,13.9,7.8999999999999995
2004,Developing,68.1,218.0,0,1.63,43.995,99.0,37,Obese,0,96.0,3.61,95.0,0.1,3332.919,818354.0,0.691,13.4,8.1
2003,Developing,68.0,22.0,0,1.76,253.82,99.0,305,Obese,0,95.0,3.35,94.0,0.1,2835.974,816628.0,0.689,13.3,8.1
2002,Developing,67.9,22.0,0,1.85,206.072,99.0,304,Obese,0,94.0,3.48,93.0,0.1,2259.558,815691.0,0.687,13.3,8.1
2001,Developing,67.8,221.0,0,1.93,20.712,98.0,17,Obese,0,92.0,3.28,91.0,0.1,238.892,814218.0,0.683,13.2,8.3
2000,Developing,67.7,221.0,0,2.05,31.258,98.0,0,Underweight,0,91.0,3.87,9.0,0.1,276.134,811223.0,0.681,13.1,8.3
2014,Developing,82.2,79.0,3,11.5,6739.678,83.0,267,Obese,3,98.0,11.54,98.0,0.1,42955.243,66331957.0,0.89,16.2,1.2
2013,Developing,82.0,81.0,3,11.1,6646.954,74.0,272,Obese,3,99.0,11.56,99.0,0.1,42554.122,6599857.0,0.887,16.2,1.2
2012,Developing,81.5,83.0,3,11.5,751.379,78.0,0,Obese,3,99.0,11.44,99.0,0.1,4838.244,6565979.0,0.885,16.1,1.2
2011,Developing,81.7,83.0,3,11.8,683.919,74.0,14949,Underweight,3,99.0,11.33,99.0,0.1,4381.288,65342776.0,0.882,16.1,1.2
2010,Developing,81.3,86.0,3,11.7,72.8,65.0,5048,Underweight,3,99.0,11.2,99.0,0.1,473.343,6527512.0,0.879,16.0,1.2
2009,Developing,81.1,88.0,3,11.8,6415.357,51.0,1541,Obese,3,98.0,11.28,98.0,0.1,41631.131,647744.0,0.879,16.0,1.2
2008,Developing,89.0,88.0,3,11.9,7002.786,47.0,604,Obese,3,98.0,1.57,98.0,0.1,45413.657,6437499.0,0.877,16.1,1.2
2007,Developing,89.0,89.0,3,12.2,64.737,42.0,39,Obese,3,99.0,1.45,98.0,0.1,416.584,6416229.0,0.873,16.1,1.2
2006,Developing,86.0,92.0,3,12.4,5689.992,39.0,40,Obese,4,99.0,1.53,99.0,0.1,36544.585,63621376.0,0.87,16.1,1.2
2005,Developing,81.0,93.0,3,12.2,5451.701,35.0,36,Obese,4,98.0,1.6,98.0,0.1,34879.726,63179356.0,0.86,15.5,1.2
2004,Developing,82.0,94.0,3,13.18,5291.235,35.0,4448,Obese,4,99.0,1.53,98.0,0.1,33874.743,6274897.0,0.857,15.5,1.2
2003,Developing,79.3,99.0,3,13.49,4572.442,28.0,0,Obese,4,96.0,1.43,97.0,0.1,29691.182,62244884.0,0.852,15.4,1.2
2002,Developing,79.2,11.0,3,13.78,3779.655,29.0,5185,Obese,4,97.0,1.22,97.0,0.1,24275.243,6185267.0,0.851,15.5,1.2999999999999998
2001,Developing,79.0,13.0,3,13.89,3451.185,28.0,0,Obese,4,98.0,9.89,97.0,0.1,22527.318,61357431.0,0.849,15.6,1.2999999999999998
2000,Developing,78.8,13.0,3,13.63,3410.284,26.0,10000,Obese,4,98.0,9.77,97.0,0.1,22465.642,6912498.0,0.844,15.7,1.2999999999999998
2014,Developing,65.5,237.0,2,0.01,715.282,7.0,33,Obese,3,68.0,3.44,7.0,2.8,9692.164,1875713.0,0.687,12.6,12.1
2013,Developing,64.6,255.0,2,8.86,154.876,79.0,122,Obese,3,77.0,3.98,79.0,3.7,9679.743,1817271.0,0.678,12.5,12.3
2012,Developing,63.5,276.0,2,8.3,805.393,82.0,2,Obese,3,8.0,3.13,82.0,4.9,9774.181,1756817.0,0.669,12.5,12.5
2011,Developing,62.8,289.0,2,8.9,133.522,75.0,2,Obese,3,75.0,3.12,75.0,6.0,1716.226,169711.0,0.664,12.5,12.7
2010,Developing,62.3,294.0,2,8.85,145.318,67.0,1,Obese,3,68.0,3.41,67.0,7.0,8754.113,16421.0,0.66,12.5,12.9
2009,Developing,61.7,31.0,2,8.64,52.311,79.0,0,Obese,3,74.0,3.43,76.0,8.0,763.662,1586754.0,0.652,12.4,13.2
2008,Developing,61.6,298.0,2,8.75,11.054,82.0,3,Obese,3,81.0,2.54,82.0,8.9,194.275,1536411.0,0.651,12.4,13.399999999999999
2007,Developing,61.6,291.0,2,9.02,545.439,75.0,0,Obese,3,78.0,2.86,81.0,10.0,8352.817,1489193.0,0.645,12.4,13.7
2006,Developing,61.4,288.0,2,8.01,40.537,52.0,90,Obese,3,44.0,2.88,45.0,10.7,727.777,1444844.0,0.646,12.4,14.0
2005,Developing,65.0,37.0,2,7.72,353.244,28.0,0,Underweight,3,44.0,2.76,45.0,10.9,6741.294,143126.0,0.64,12.4,14.3
2014,Developing,74.5,125.0,1,6.13,221.483,91.0,3188,Obese,1,91.0,7.42,91.0,0.1,4429.658,3727.0,0.759,13.5,5.5
2013,Developing,74.5,128.0,1,5.91,180.379,96.0,7872,Obese,1,94.0,7.25,93.0,0.1,4274.377,3776.0,0.755,13.5,5.5
2012,Developing,74.2,13.0,1,7.71,158.258,92.0,31,Obese,1,93.0,8.57,92.0,0.1,4142.869,3825.0,0.749,13.4,5.4
2011,Developing,73.9,127.0,1,8.14,198.949,89.0,64,Obese,1,88.0,9.38,94.0,0.1,3725.632,3875.0,0.742,13.3,5.4
2010,Developing,73.8,132.0,1,7.24,194.173,95.0,22,Obese,1,88.0,1.5,92.0,0.1,2964.477,3926.0,0.738,13.3,5.4
2009,Developing,73.2,133.0,1,6.66,18.531,54.0,23,Obese,1,93.0,1.19,88.0,0.1,276.589,3978.0,0.734,12.8,5.4
2008,Developing,73.9,128.0,1,7.17,151.763,89.0,56,Underweight,1,9.0,8.99,92.0,0.1,3174.949,43.0,0.735,13.1,5.4
2007,Developing,74.4,12.0,1,8.65,106.165,94.0,44,Obese,1,88.0,8.17,98.0,0.1,2492.129,482.0,0.722,12.5,5.6
2006,Developing,73.9,126.0,1,6.18,110.114,84.0,334,Obese,1,89.0,8.39,88.0,0.1,1872.684,4136.0,0.714,12.6,5.6
2005,Developing,73.9,128.0,1,4.7,9.445,79.0,1356,Obese,1,82.0,8.6,82.0,0.1,153.575,419.0,0.703,12.2,5.699999999999999
2004,Developing,72.3,134.0,1,3.74,7.133,64.0,6847,Obese,1,66.0,8.53,78.0,0.1,127.367,4245.0,0.694,12.0,5.8
2003,Developing,72.7,132.0,1,3.36,70.542,48.0,216,Obese,2,74.0,8.49,75.0,0.1,928.182,431.0,0.684,11.8,5.9
2002,Developing,71.7,142.0,2,2.72,60.558,51.0,199,Obese,2,89.0,8.72,84.0,0.1,779.385,4357.0,0.677,11.8,5.9
2001,Developing,73.0,121.0,2,2.76,57.103,61.0,35,Obese,2,83.0,7.82,87.0,0.1,733.974,43864.0,0.673,11.7,6.1
2000,Developing,71.8,129.0,2,3.28,47.817,55.0,50,Obese,2,81.0,6.94,8.0,0.1,691.998,44183.0,0.0,11.4,6.2
2014,Developed,89.0,69.0,2,11.03,941.756,88.0,443,Obese,3,94.0,11.3,95.0,0.1,4792.653,89825.0,0.92,17.0,2.2
2013,Developed,86.0,71.0,2,10.94,895.878,88.0,1771,Obese,3,94.0,11.16,95.0,0.1,4653.911,864565.0,0.919,16.9,2.2
2012,Developed,86.0,71.0,2,11.18,839.913,88.0,166,Underweight,3,94.0,1.99,95.0,0.1,4465.249,8425823.0,0.916,16.9,2.2
2011,Developed,85.0,74.0,2,11.2,869.791,88.0,1607,Underweight,3,94.0,1.93,95.0,0.1,4681.328,8274983.0,0.912,16.8,2.2
2010,Developed,81.0,76.0,2,11.2,7584.079,88.0,780,Obese,3,94.0,11.25,95.0,0.1,41785.557,8177693.0,0.907,16.7,2.2
2009,Developed,80.0,79.0,2,11.22,7641.271,88.0,574,Obese,3,95.0,11.4,96.0,0.1,41732.772,819237.0,0.906,16.7,2.2
2008,Developed,79.9,8.0,2,11.36,8285.265,87.0,917,Obese,3,95.0,1.39,96.0,0.1,45699.198,821197.0,0.903,16.6,2.2
2007,Developed,79.8,82.0,3,11.5,7777.556,86.0,567,Obese,3,95.0,1.18,96.0,0.1,41814.819,82266372.0,0.898,16.6,2.2
2006,Developed,79.6,84.0,3,11.76,6407.536,87.0,2307,Obese,3,94.0,1.34,96.0,0.1,36447.872,82376451.0,0.892,16.5,2.2
2005,Developed,79.2,85.0,3,11.67,6012.926,9.0,778,Obese,3,95.0,1.52,96.0,0.1,34696.629,82469422.0,0.884,16.4,2.2
2004,Developed,79.1,86.0,3,11.83,5842.375,88.0,121,Obese,3,96.0,1.37,96.0,0.1,34165.934,8251626.0,0.877,16.4,2.2
2003,Developed,78.5,9.0,3,11.92,582.616,9.0,779,Obese,4,96.0,1.62,97.0,0.1,3359.952,82534176.0,0.872,16.3,2.2
2002,Developed,78.4,91.0,3,12.25,437.106,87.0,4657,Obese,4,97.0,1.4,93.0,0.1,2525.164,82488495.0,0.867,16.3,2.3
2001,Developed,78.3,92.0,3,12.46,4057.637,86.0,6024,Obese,4,96.0,1.15,93.0,0.1,23687.317,82349925.0,0.86,16.2,2.3
2000,Developed,78.0,95.0,3,12.91,4238.54,84.0,0,Obese,4,94.0,1.1,9.0,0.1,23718.747,8221158.0,0.855,16.2,2.4
2014,Developing,62.1,253.0,37,0.01,97.678,98.0,124,Overweight,54,93.0,3.56,98.0,0.8,1432.228,26962563.0,0.576,11.7,12.7
2013,Developing,61.9,254.0,38,0.01,28.669,9.0,319,Overweight,55,91.0,4.63,9.0,0.9,1814.492,26346251.0,0.57,11.5,13.0
2012,Developing,61.6,257.0,39,0.01,151.899,92.0,1613,Overweight,56,91.0,4.79,92.0,0.9,1629.822,2573349.0,0.563,11.2,13.3
2011,Developing,61.2,263.0,40,1.64,225.222,91.0,120,Overweight,58,91.0,4.81,91.0,1.3,1574.979,25121796.0,0.554,10.9,13.7
2010,Developing,69.0,267.0,40,1.69,195.982,94.0,641,Overweight,59,94.0,5.33,94.0,1.9,1312.676,2451214.0,0.547,10.5,14.1
2009,Developing,66.0,271.0,41,1.76,30.723,94.0,101,Normal,60,94.0,5.17,94.0,2.1,186.765,2393831.0,0.542,10.4,14.5
2008,Developing,63.0,275.0,41,1.78,161.011,93.0,82,Normal,61,92.0,4.85,93.0,2.2,1224.416,2329864.0,0.53,9.8,14.9
2007,Developing,59.9,28.0,41,1.25,3.181,94.0,6,Normal,61,94.0,5.3,94.0,2.6,19.687,227212.0,0.519,9.1,15.3
